Comments,PLU,SKU Item Nbr,SKU Item Name,Document SKU Name,Document Grp Name,,Core Range (Y/N),Pack Size,"Prep (Y/N)
Requires 24hr defrost",Prep / Defrost %,Defrost max cap,Scratch 1,Scratch 2,,Minimum Fill Qty,Update min,Production Multiple ,trigger for mix to be produced,Waste Banding  (USE CURRENT RUN RATE - RUSSELL & KATE GARROD),End of Day Carryover,Shelf Life,,8am - 10am,10am - 2pm,2pm - 6pm,Sunday England & Wales,Scottish Sunday
,,105628494,f/c Meringue,Small Chilled Cakes,Cakes,,Y,2,,,,Y,N,,4,update productionpointitem set mincaseqty=4 where item_num=105628494,5,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,105630068,f/c Cherry and chocolate sundae,Small Chilled Cakes,Cakes,,Y,1,Y,100% TOMORROWS,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=105630068,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,108102261,Raspberry trile,Small Chilled Cakes,Cakes,,Y,1,Y,100% TOMORROWS,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=108102261,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,105630092,Best f/c scones,Small Chilled Cakes,Cakes,,Y,2,,,,Y,N,,3,update productionpointitem set mincaseqty=3 where item_num=105630092,4,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,108886691,f/c Iced fingers,Small Chilled Cakes,Cakes,,Y,2,Y,100% TOMORROWS,,Y,N,,3,update productionpointitem set mincaseqty=3 where item_num=108886691,4,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,109349257,Lemon meringue tart,Small Chilled Cakes,Cakes,,Y,1,Y,,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=109349257,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,105713648,f/c chocolate and cherry muffin,Small Chilled Cakes,Cakes,,Y,2,Y,,,Y,N,,3,update productionpointitem set mincaseqty=3 where item_num=105713648,4,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,109357871,BanoffeeWaffle,Small Chilled Cakes,Cakes,,Y,1,Y,,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=109357871,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
delisted line 29.9,,106251203,MORRISONS FRESH CREAM LEMON MUFFINS 2PK,Small Chilled Cakes,Cakes,,Y,2,Y,100% TOMORROWS,,Y,N,,3,update productionpointitem set mincaseqty=3 where item_num=106251203,4,N/A,#REF!,50%,D+2,,,Y,Y,2pm - 4pm,no change
,,108102210,Manderin trifle,Small Chilled Cakes,Cakes,,Y,1,Y,100% TOMORROWS,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=108102210,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,108405659,f/c Palmier,Small Chilled Cakes,Cakes,,Y,1,,,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=108405659,1,N/A,#REF!,50%,d+1,,,Y,Y,2pm - 4pm,no change
,,105629913,f/c Muffins,Small Chilled Cakes,Cakes,,Y,2,Y,100% TOMORROWS,,Y,N,,3,update productionpointitem set mincaseqty=3 where item_num=105629913,4,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,105629850,f/c Strawberry sundae,Small Chilled Cakes,Cakes,,Y,1,Y,,,Y,N,,3,update productionpointitem set mincaseqty=3 where item_num=105629850,4,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,111393601,F/C Ball Doughnuts 2pack,Small Chilled Cakes,Cakes,,Y,2,,,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=111393601,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
delisted line 29.9,,111443146,MORRISONS CAKE SELECTION (4 CAKES),Small Chilled Cakes,Cakes,,Y,4,Y,,,Y,N,,2,update productionpointitem set mincaseqty=2 where item_num=111443146,4,N/A,#REF!,50%,D+2,,,Y,Y,2pm - 4pm,no change
,,105630025,Profiterole sundae,Small Chilled Cakes,Cakes,,Y,1,Y,100% TOMORROWS,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=105630025,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,105628646,f/c Raspberry turnover,Small Chilled Cakes,Cakes,,Y,2,Y,,,Y,N,,4,update productionpointitem set mincaseqty=4 where item_num=105628646,5,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,109368589,Banoffee tarts,Small Chilled Cakes,Cakes,,Y,1,,,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=109368589,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,105628620,f/c Apple turnover,Small Chilled Cakes,Cakes,,Y,2,Y,,,Y,N,,4,update productionpointitem set mincaseqty=4 where item_num=105628620,5,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,109368343,Mixed fruit tart,Small Chilled Cakes,Cakes,,Y,1,,,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=109368343,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,109368482,Strawberry tart,Small Chilled Cakes,Cakes,,Y,1,,,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=109368482,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,109758341,Mango trifle,Small Chilled Cakes,Cakes,,Y,1,,100% TOMORROWS,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=109758341,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,105492814,chelsea bun,Thaw and serve,Thaw and serve,,Y,2,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105492814,2,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
delisted line 29.9,,111501545,Lemon and poppyseed cake ,Thaw and serve,Thaw and serve,,Y,1,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=111501545,1,,#REF!,50%,D+3,,,,Y,2pm - 4pm,no change
delisted line 29.9,,111032540,Ancient spiced carrot cake,Thaw and serve,Thaw and serve,,Y,1,,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=111032540,1,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,106687630,toffee yum yum,Thaw and serve,Thaw and serve,,Y,4,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=106687630,2,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
delisted line 29.9,,111041905,Cosmic black velvet cake,Thaw and serve,Thaw and serve,,Y,1,,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=111041905,1,,#REF!,50%,D+3,,,,Y,2pm - 4pm,no change
,,105615167,blueberry muffins,Thaw and serve,Thaw and serve,,Y,4,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105615167,1,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,108949824,carrot and walnut cake slice,Thaw and serve,Thaw and serve,,Y,1,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=108949824,1,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,108949859,Chocolate fudge cake slice,Thaw and serve,Thaw and serve,,Y,1,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=108949859,1,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,105713584,yum yum,Thaw and serve,Thaw and serve,,Y,4,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105713584,1,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,105493913,cinnamon bun,Thaw and serve,Thaw and serve,,Y,2,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105493913,2,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,105615183,triple chocolate muffins,Thaw and serve,Thaw and serve,,Y,4,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105615183,1,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,105615239,chocolate chunck muffins,Thaw and serve,Thaw and serve,,Y,4,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105615239,1,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,105615212,Lemon muffins,Thaw and serve,Thaw and serve,,Y,4,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105615212,1,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
delisted line 29.9,,111501481,Angel sparkle cake,Thaw and serve,Thaw and serve,,Y,1,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=111501481,1,,#REF!,50%,D+3,,,,Y,2pm - 4pm,no change
,,105492742,belgian bun,Thaw and serve,Thaw and serve,,Y,2,Y,100%,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105492742,2,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
new line added 29/9,,111813725,LOADED CHOCOLATE TOFFEE POPCORN CUPCAKES 2 PACK,,,,,,,,,,,,,update productionpointitem set mincaseqty= where item_num=111813725,,,,,,,,,,,
new line added 29/9,,111813741,LOADED STRAWBERRY SHORTCAKE CUPCAKES 2 PACK,,,,,,,,,,,,,update productionpointitem set mincaseqty= where item_num=111813741,,,,,,,,,,,
new line added 29/9,,112121835,MORRISONS WINTERBERRY CHEESECAKE,,,,,,,,,,,,,update productionpointitem set mincaseqty= where item_num=112121835,,,,,,,,,,,
new line added 29/9,,111040591,Lemon and poppyseed cake,,,,,,,,,,,,,update productionpointitem set mincaseqty= where item_num=111040591,,,,,,,,,,,
new line added 29/9,,111040558,Angel sparkle cake,,,,,,,,,,,,,update productionpointitem set mincaseqty= where item_num=111040558,,,,,,,,,,,
new line added 29/9,,111040574,Chocolate orange cake,,,,,,,,,,,,,update productionpointitem set mincaseqty= where item_num=111040574,,,,,,,,,,,
new line added 29/9,,106779278,TOFFEE & APPLE CROWN 2 PACK,,,,,,,,,,,,,update productionpointitem set mincaseqty= where item_num=106779278,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
